,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.99866,145.95195,504.03298,8.35381,1852.9491,REFPROP::R1336MZZZ,62.67858
12,7.99866,75.0,293.71519,7.93612,1300.52596,REFPROP::R1336MZZZ,8.7794
13,7.99866,29.85561,236.05745,7.81708,1123.33646,REFPROP::R1336MZZZ,1.29287
14,7.99866,5.0,236.05745,0.31368,1129.80807,REFPROP::R1336MZZZ,-0.53956
15,7.99866,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,7.99866,70.0,440.02672,0.29352,1845.28689,REFPROP::R1336MZZZ,0.84188
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,7.99866,106.5616,459.49274,8.2122,1742.02204,REFPROP::R1336MZZZ,49.54734
19,7.99866,105.80489,336.0898,8.07298,1417.06086,REFPROP::R1336MZZZ,18.15716
28,10.0,78.0859,327.3426,5.0,1052.47981,REFPROP::water,29.99152
29,10.0,101.56152,426.04846,5.0,1324.50365,REFPROP::water,51.67384
