,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.88517,148.51958,507.0595,8.25771,1860.65369,REFPROP::R1336MZZZ,63.52355
12,7.88517,75.0,293.71442,7.84482,1300.54515,REFPROP::R1336MZZZ,8.7732
13,7.88517,32.17725,238.91291,7.72715,1132.74619,REFPROP::R1336MZZZ,1.48397
14,7.88517,8.0,238.91291,0.35983,1138.86264,REFPROP::R1336MZZZ,-0.2479
15,7.88517,7.55354,385.11135,0.35264,1659.8614,REFPROP::R1336MZZZ,-1.57026
16,7.88517,70.0,439.91285,0.34735,1836.50957,REFPROP::R1336MZZZ,3.21331
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
18,7.88517,106.04914,459.14327,8.11772,1741.55942,REFPROP::R1336MZZZ,49.32886
19,7.88517,105.29456,335.36295,7.9801,1415.16345,REFPROP::R1336MZZZ,17.96756
28,10.0,77.83473,326.28912,5.0,1049.47939,REFPROP::water,29.78761
29,10.0,101.05005,423.89195,5.0,1318.7446,REFPROP::water,51.148
