,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.04866,134.45487,519.87137,10.6469,1916.88283,REFPROP::R245fa,60.45052
12,7.04866,61.27009,281.85084,10.11455,1267.46396,REFPROP::R245fa,6.31294
13,7.04866,22.46582,229.16979,10.11455,1100.15333,REFPROP::R245fa,1.00589
14,7.04866,5.0,227.80968,0.66576,1100.15333,REFPROP::R245fa,-0.35421
15,7.04866,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,7.04866,61.27009,458.67,0.63247,1916.88283,REFPROP::R245fa,-0.75085
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.04866,91.69114,470.29523,10.46641,1789.23133,REFPROP::R245fa,47.0189
19,7.04866,90.96015,325.52637,10.28898,1392.47167,REFPROP::R245fa,14.59254
28,10.0,62.35715,261.11446,1.013,860.75919,REFPROP::water,18.04908
29,10.0,86.69187,363.15715,1.013,1154.37313,REFPROP::water,36.95497
