,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,6.91912,132.15802,518.31436,9.84593,1917.29834,REFPROP::R245fa,58.77586
12,6.91912,57.0,275.8374,9.64901,1249.47945,REFPROP::R245fa,5.39182
13,6.91912,25.66376,233.34575,9.50427,1114.35652,REFPROP::R245fa,1.16022
14,6.91912,5.0,233.34575,0.66576,1120.05649,REFPROP::R245fa,-0.45373
15,6.91912,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,6.91912,52.0,450.08149,0.62298,1891.76262,REFPROP::R245fa,-2.22658
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,6.91912,88.80866,468.5145,9.77985,1787.66219,REFPROP::R245fa,45.68247
19,6.91912,88.5252,321.80515,9.71421,1382.35694,REFPROP::R245fa,13.73531
28,10.0,62.60086,262.13468,1.013,863.7989,REFPROP::water,18.2086
29,10.0,86.80787,363.64459,1.013,1155.72753,REFPROP::water,37.05892
