,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.32858,124.68982,510.29043,9.49987,1899.26263,REFPROP::R245fa,55.85874
12,7.32858,55.0,273.04084,9.49987,1241.01932,REFPROP::R245fa,4.99075
13,7.32858,20.45416,226.52451,9.49987,1091.32889,REFPROP::R245fa,0.85926
14,7.32858,5.0,225.35516,0.66576,1091.32889,REFPROP::R245fa,-0.31009
15,7.32858,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,7.32858,55.0,452.83276,0.63247,1899.26263,REFPROP::R245fa,-1.59892
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.32858,87.58943,467.7499,9.49987,1786.98513,REFPROP::R245fa,45.10958
19,7.32858,87.58943,320.38228,9.49987,1378.46972,REFPROP::R245fa,13.4131
28,10.0,63.29096,265.02362,1.013,872.39449,REFPROP::water,18.6637
29,10.0,87.58855,366.92551,1.013,1164.8324,REFPROP::water,37.7618
