,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.02077,133.77816,519.02486,10.69525,1914.55964,REFPROP::R245fa,60.26182
12,7.02077,60.0,280.05862,10.16049,1262.08346,REFPROP::R245fa,6.04421
13,7.02077,29.01334,237.77971,10.00808,1128.98685,REFPROP::R245fa,1.45161
14,7.02077,8.0,237.77971,0.75755,1134.84066,REFPROP::R245fa,-0.20589
15,7.02077,7.52566,410.36228,0.7424,1749.89491,REFPROP::R245fa,-1.77594
16,7.02077,55.0,452.64119,0.73127,1889.82656,REFPROP::R245fa,0.88132
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.02077,91.8854,470.41382,10.51394,1789.33532,REFPROP::R245fa,47.10804
19,7.02077,91.15359,325.82319,10.33571,1393.27526,REFPROP::R245fa,14.66182
28,10.0,62.67841,262.45929,1.013,864.76561,REFPROP::water,18.25949
29,10.0,86.88602,363.97301,1.013,1156.63981,REFPROP::water,37.12903
