,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,7.47781,120.69657,505.48096,9.68129,1886.09171,REFPROP::R245fa,54.77861
12,7.47781,55.0,273.04369,9.68129,1240.98395,REFPROP::R245fa,5.00361
13,7.47781,24.9362,232.39026,9.53607,1111.14706,REFPROP::R245fa,1.11349
14,7.47781,5.0,230.86759,0.66576,1111.14706,REFPROP::R245fa,-0.40918
15,7.47781,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,7.47781,50.0,448.24326,0.62298,1886.09171,REFPROP::R245fa,-2.45908
21,10.0,55.0,230.32905,1.013,767.98048,REFPROP::water,13.53396
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,7.47781,88.38252,468.248,9.68129,1787.42638,REFPROP::R245fa,45.48274
19,7.47781,88.38252,321.58794,9.68129,1381.76423,REFPROP::R245fa,13.68592
28,10.0,63.67454,266.6295,1.013,877.16492,REFPROP::water,18.91884
29,10.0,88.38175,370.25961,1.013,1174.06467,REFPROP::water,38.48178
