,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,7.830249804157011,9.999999999998522,217.18898273991778,3.727641805697939,1061.3876017308057,REFPROP::R152a,43.86852
32,7.830249804157011,11.040270899675477,219.7223602427306,27.498529373709786,1061.387601730812,REFPROP::R152a,46.4019
33,7.830249804157011,30.56715655638294,254.07184170685497,27.08605143310414,1178.4066848220505,REFPROP::R152a,47.61743
34,7.830249804157011,135.0,631.8411700473042,25.73174886144893,2244.3763024952136,REFPROP::R152a,123.55746
35,7.830249804157011,46.0561305499246,555.076025997203,3.7844079245664357,2244.3763024952127,REFPROP::R152a,46.79232
36,7.830249804157011,16.04027096717465,520.7265445330787,3.727641805697939,2133.1326030226605,REFPROP::R152a,43.94149
41,10,139.99999999999932,589.2513914025395,5.0,1739.074500345322,REFPROP::water,97.49103
42,10,70.00000000000506,293.4485704771068,5.0,954.8526003313788,REFPROP::water,23.74064
38,7.830249804157011,86.16859639607674,367.5207553504695,26.626877109694526,1520.104876935647,REFPROP::R152a,64.3145
39,7.830249804157011,85.3349806767061,543.085952015887,26.17548690571625,2010.0332640979884,REFPROP::R152a,101.15647
48,10,123.7048447703998,519.7538385416977,5.0,1567.457932622242,REFPROP::water,76.58671
49,10,91.16766517925657,382.2819038610806,5.0,1206.053191104367,REFPROP::water,41.44652
