,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,2.89938,15.0,220.48045,4.88373,1072.43282,REFPROP::R134a,30.78036
32,2.89938,16.34673,222.66707,28.06273,1073.56626,REFPROP::R134a,32.64604
33,2.89938,20.47294,228.35607,27.7821,1093.15611,REFPROP::R134a,32.78818
34,2.89938,90.0,445.80414,26.393,1732.34689,REFPROP::R134a,69.24938
35,2.89938,24.35494,415.33207,5.1927,1743.79512,REFPROP::R134a,35.53574
36,2.89938,18.34673,409.64307,5.14077,1725.19687,REFPROP::R134a,35.11283
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,80.0,335.05524,1.013,1075.54287,REFPROP::water,31.17386
38,2.89938,81.72008,325.69795,27.31113,1392.6824,REFPROP::R134a,45.31919
39,2.89938,80.9129,428.69275,26.84814,1683.72377,REFPROP::R134a,65.90562
48,10.0,93.82143,393.14045,1.013,1236.88178,REFPROP::water,43.57596
49,10.0,86.72072,363.27835,1.013,1154.70996,REFPROP::water,36.98081
