,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,2.74836,10.0,213.57723,4.14607,1048.47213,REFPROP::R134a,30.66161
32,2.74836,11.07542,215.4721,28.10659,1048.47213,REFPROP::R134a,32.55647
33,2.74836,11.22293,215.67235,28.10659,1049.17651,REFPROP::R134a,32.55728
34,2.74836,90.0,445.06912,26.70126,1729.69876,REFPROP::R134a,69.26417
35,2.74836,12.28928,406.47522,4.14607,1729.69876,REFPROP::R134a,30.67027
36,2.74836,12.07542,406.27423,4.14607,1728.99438,REFPROP::R134a,30.66874
41,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
42,10.0,80.0,335.05524,1.013,1075.54287,REFPROP::water,31.17386
38,2.74836,82.26992,326.77078,27.63012,1395.6048,REFPROP::R134a,45.56455
39,2.74836,81.46079,428.60647,27.16172,1682.93021,REFPROP::R134a,66.04404
48,10.0,93.92519,393.57717,1.013,1238.07166,REFPROP::water,43.67576
49,10.0,87.27057,365.58907,1.013,1161.12603,REFPROP::water,37.47482
