,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.50573,159.73868,548.6266,11.12097,1982.93316,REFPROP::R245fa,70.5036
12,3.50573,80.0,308.95841,10.56492,1346.20773,REFPROP::R245fa,11.12421
13,3.50573,34.32684,244.85648,10.40645,1152.10452,REFPROP::R245fa,1.98261
14,3.50573,5.0,244.85648,0.66576,1161.43968,REFPROP::R245fa,-0.66064
15,3.50573,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,3.50573,75.0,471.69175,0.62298,1955.96505,REFPROP::R245fa,1.20477
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.50573,93.56776,471.43289,10.93245,1790.22563,REFPROP::R245fa,47.87503
19,3.50573,92.82882,328.40113,10.74711,1400.23534,REFPROP::R245fa,15.26902
28,10.0,76.6253,320.89662,1.013,1035.25772,REFPROP::water,28.42198
29,10.0,88.56731,371.03967,1.013,1176.22178,REFPROP::water,38.65106
