,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.8711,154.45879,542.50088,11.092,1968.83996,REFPROP::R245fa,68.36837
12,3.8711,90.91728,325.45344,10.5374,1392.21099,REFPROP::R245fa,14.59342
13,3.8711,42.37765,255.69805,10.37934,1186.9161,REFPROP::R245fa,2.96728
14,3.8711,10.0,252.71707,0.82417,1186.9161,REFPROP::R245fa,-0.0137
15,3.8711,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,3.8711,85.91728,481.9745,0.81181,1968.83996,REFPROP::R245fa,7.84199
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.8711,93.4548,471.36492,10.90396,1790.16645,REFPROP::R245fa,47.82381
19,3.8711,92.71633,328.22761,10.71911,1399.76795,REFPROP::R245fa,15.22784
28,10.0,75.2561,315.15444,1.013,1018.80873,REFPROP::water,27.33733
29,10.0,88.45422,370.56427,1.013,1174.90729,REFPROP::water,38.54786
