,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.4578,162.53693,551.94892,11.071,1990.83396,REFPROP::R245fa,71.5888
12,3.4578,80.0,308.9588,10.51745,1346.22031,REFPROP::R245fa,11.12104
13,3.4578,32.16931,241.97931,10.41228,1142.71276,REFPROP::R245fa,1.76471
14,3.4578,5.0,241.97931,0.66576,1151.09572,REFPROP::R245fa,-0.60892
15,3.4578,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,3.4578,78.0,474.56932,0.62614,1963.88464,REFPROP::R245fa,1.83991
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.4578,93.37281,471.31554,10.88332,1790.12344,REFPROP::R245fa,47.78661
19,3.4578,92.63469,328.10171,10.69882,1399.42872,REFPROP::R245fa,15.19799
28,10.0,76.57836,320.69977,1.013,1034.69488,REFPROP::water,28.38449
29,10.0,88.37239,370.22027,1.013,1173.95586,REFPROP::water,38.47325
