,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,3.58223,154.7132,544.31221,9.71567,1980.45643,REFPROP::R245fa,66.89049
12,3.58223,75.0,301.59218,9.71567,1325.40541,REFPROP::R245fa,9.64816
13,3.58223,26.95028,235.04623,9.71567,1119.98231,REFPROP::R245fa,1.26776
14,3.58223,5.0,233.32511,0.66576,1119.98231,REFPROP::R245fa,-0.45336
15,3.58223,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,3.58223,75.0,471.67649,0.63247,1954.99529,REFPROP::R245fa,1.4641
21,10.0,75.0,314.08053,1.013,1015.72525,REFPROP::water,27.13651
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,3.58223,88.53154,468.34129,9.71567,1787.50895,REFPROP::R245fa,45.55265
19,3.58223,88.53154,321.81481,9.71567,1382.38327,REFPROP::R245fa,13.73751
28,10.0,76.72737,321.32474,1.013,1036.48152,REFPROP::water,28.50358
29,10.0,88.53103,370.88717,1.013,1175.80014,REFPROP::water,38.61794
