,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.84556,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.84556,16.03196,228.21164,22.35702,1092.91969,REFPROP::R152a,45.96287
33,4.84556,26.72553,247.08952,22.02166,1157.14132,REFPROP::R152a,46.6564
34,4.84556,105.0,594.26513,20.92058,2169.53686,REFPROP::R152a,107.17221
35,4.84556,37.16753,542.13996,4.68696,2178.41077,REFPROP::R152a,52.5344
36,4.84556,21.03196,523.26208,4.61666,2117.64949,REFPROP::R152a,50.86107
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.84556,76.29764,344.84223,21.64834,1458.07143,REFPROP::R152a,59.20074
39,4.84556,75.50391,543.19174,21.28135,2027.11971,REFPROP::R152a,96.42423
48,10.0,104.14046,436.92676,5.0,1353.43533,REFPROP::water,54.36013
49,10.0,81.29699,340.81526,5.0,1090.66338,REFPROP::water,32.6525
