,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.88521,15.0,225.92839,4.38583,1091.73495,REFPROP::R152a,44.01508
32,4.88521,15.88526,227.95091,22.17736,1092.08486,REFPROP::R152a,45.93852
33,4.88521,28.50259,250.2754,21.8447,1167.79943,REFPROP::R152a,46.82444
34,4.88521,105.0,594.63337,20.75246,2171.31047,REFPROP::R152a,107.03825
35,4.88521,39.93258,545.41223,4.68696,2188.90896,REFPROP::R152a,52.8341
36,4.88521,20.88526,523.08774,4.61666,2117.05671,REFPROP::R152a,50.85457
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.88521,75.92267,344.01272,21.47438,1455.7636,REFPROP::R152a,59.0247
39,4.88521,75.1305,543.15316,21.11033,2027.6915,REFPROP::R152a,96.22375
48,10.0,104.04537,436.52553,5.0,1352.37174,REFPROP::water,54.26006
49,10.0,80.92193,339.24123,5.0,1086.22022,REFPROP::water,32.33655
