,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,4.33763,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,4.33763,11.22292,219.99365,26.15947,1062.84294,REFPROP::R152a,46.26111
33,4.33763,12.87485,222.83133,25.76708,1072.93951,REFPROP::R152a,46.23995
34,4.33763,110.0,591.37641,25.76708,2141.89249,REFPROP::R152a,112.11099
35,4.33763,18.87554,523.7738,3.78441,2141.89249,REFPROP::R152a,44.50838
36,4.33763,16.22292,520.93611,3.72764,2133.85704,REFPROP::R152a,43.94593
41,10.0,110.0,461.6747,5.0,1418.52488,REFPROP::water,60.67796
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,4.33763,84.57114,363.72606,25.76708,1509.86259,REFPROP::R152a,63.41991
39,4.33763,84.57114,543.18402,25.76708,2011.53258,REFPROP::R152a,100.83001
48,10.0,105.05126,440.77062,5.0,1363.6111,REFPROP::water,55.32272
49,10.0,84.57181,354.56349,5.0,1129.27312,REFPROP::water,35.46839
