,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
31,5.70736,10.0,217.18898,3.72764,1061.3876,REFPROP::R152a,43.86852
32,5.70736,10.92812,219.44553,24.89557,1061.3876,REFPROP::R152a,46.12507
33,5.70736,20.43314,235.97635,24.52214,1118.76214,REFPROP::R152a,46.41029
34,5.70736,115.0,604.92988,23.29603,2186.73739,REFPROP::R152a,112.96663
35,5.70736,30.50191,537.12866,3.78441,2186.73739,REFPROP::R152a,45.16541
36,5.70736,15.92812,520.59785,3.72764,2132.6875,REFPROP::R152a,43.93883
41,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
42,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
38,5.70736,81.36612,356.26867,24.10643,1489.57694,REFPROP::R152a,61.7064
39,5.70736,80.55162,543.43024,23.69777,2018.89408,REFPROP::R152a,98.99182
48,10.0,111.71419,468.92345,5.0,1437.40151,REFPROP::water,62.58179
49,10.0,86.36698,362.10368,5.0,1150.29876,REFPROP::water,37.05517
