,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,11.33853,161.96857,517.20292,11.74727,1869.25303,REFPROP::R1336MZZZ,71.23207
12,11.33853,75.18565,293.99019,11.1599,1300.56088,REFPROP::R1336MZZZ,9.04452
13,11.33853,28.54064,234.54718,11.1599,1117.52644,REFPROP::R1336MZZZ,1.42772
14,11.33853,10.0,233.07532,0.39354,1117.52644,REFPROP::R1336MZZZ,-0.04415
15,11.33853,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,11.33853,75.18565,444.6712,0.39354,1844.0169,REFPROP::R1336MZZZ,5.84596
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,130.0,546.539,5.0,1634.42157,REFPROP::water,84.41111
18,11.33853,122.32265,469.69616,11.54812,1755.37039,REFPROP::R1336MZZZ,55.97118
19,11.33853,121.50097,358.95241,11.35235,1475.38544,REFPROP::R1336MZZZ,24.50517
28,10.0,87.55761,367.10618,5.0,1164.19027,REFPROP::water,38.12429
29,10.0,117.32342,492.67332,5.0,1498.66574,REFPROP::water,68.9847
