,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,12.99357,164.07925,517.44861,13.21339,1864.97409,REFPROP::R1336MZZZ,72.68934
12,12.99357,72.0,289.79538,12.94913,1288.04456,REFPROP::R1336MZZZ,8.39371
13,12.99357,28.80598,234.92193,12.75489,1118.3792,REFPROP::R1336MZZZ,1.56101
14,12.99357,5.0,234.92193,0.31368,1125.72568,REFPROP::R1336MZZZ,-0.51915
15,12.99357,3.89892,382.36898,0.29799,1658.35984,REFPROP::R1336MZZZ,-3.88746
16,12.99357,67.0,437.24244,0.29352,1837.13735,REFPROP::R1336MZZZ,0.36514
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,140.0,589.25139,5.0,1739.0745,REFPROP::water,97.49103
18,12.99357,128.57977,473.36846,13.12471,1760.00104,REFPROP::R1336MZZZ,58.33231
19,12.99357,128.24578,369.13315,13.03662,1500.55573,REFPROP::R1336MZZZ,27.55894
28,10.0,94.55593,396.53665,5.0,1244.99959,REFPROP::water,44.6736
29,10.0,126.57939,531.97554,5.0,1598.14331,REFPROP::water,80.11984
