,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,5.38083,142.05618,528.34372,10.88691,1936.26723,REFPROP::R245fa,63.43418
12,5.38083,70.0,294.32314,10.34256,1304.22401,REFPROP::R245fa,8.37663
13,5.38083,30.47635,239.72337,10.18742,1135.35919,REFPROP::R245fa,1.59093
14,5.38083,5.0,239.72337,0.66576,1142.9852,REFPROP::R245fa,-0.56837
15,5.38083,3.82993,407.58983,0.63247,1749.57219,REFPROP::R245fa,-4.45702
16,5.38083,65.0,462.1896,0.62298,1928.27328,REFPROP::R245fa,-0.45646
21,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,5.38083,92.64889,470.87807,10.70235,1789.74169,REFPROP::R245fa,47.45723
19,5.38083,91.91384,326.99144,10.52092,1396.43371,REFPROP::R245fa,14.93576
28,10.0,69.19685,289.75746,1.013,945.27276,REFPROP::water,22.76206
29,10.0,87.64919,367.18041,1.013,1165.53893,REFPROP::water,37.81664
