,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,5.6101,132.24768,518.67306,9.65453,1919.25553,REFPROP::R245fa,58.58038
12,5.6101,65.0,287.14307,9.65453,1283.31256,REFPROP::R245fa,7.11764
13,5.6101,32.36264,242.21209,9.50971,1143.69862,REFPROP::R245fa,1.71835
14,5.6101,10.0,240.48004,0.82417,1143.69862,REFPROP::R245fa,-0.0137
15,5.6101,10.0,412.2191,0.82417,1750.22895,REFPROP::R245fa,-0.0137
16,5.6101,60.0,457.15008,0.81181,1897.10141,REFPROP::R245fa,3.33034
21,10.0,65.0,272.17921,1.013,893.60913,REFPROP::water,19.81236
22,10.0,95.0,398.10169,1.013,1250.37953,REFPROP::water,44.71531
18,5.6101,88.26624,468.17514,9.65453,1787.36188,REFPROP::R245fa,45.42815
19,5.6101,88.26624,321.411,9.65453,1381.28123,REFPROP::R245fa,13.64575
28,10.0,69.58981,291.40386,1.013,950.07916,REFPROP::water,23.04753
29,10.0,88.26572,369.77185,1.013,1172.71531,REFPROP::water,38.37609
