,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK],fluid,e^PH [kJ/kg]
11,9.59375,156.36981,513.62206,9.81096,1868.5973,REFPROP::R1336MZZZ,67.83687
12,9.59375,75.30351,294.1304,9.32041,1301.39381,REFPROP::R1336MZZZ,8.94888
13,9.59375,28.60351,234.5671,9.32041,1118.04117,REFPROP::R1336MZZZ,1.30189
14,9.59375,10.0,233.22107,0.39354,1118.04117,REFPROP::R1336MZZZ,-0.04415
15,9.59375,10.0,386.95489,0.39354,1660.98246,REFPROP::R1336MZZZ,-0.04415
16,9.59375,75.30351,444.78206,0.39354,1844.33509,REFPROP::R1336MZZZ,5.86672
21,10.0,70.0,293.44857,5.0,954.8526,REFPROP::water,23.74064
22,10.0,120.0,504.02348,5.0,1527.63423,REFPROP::water,72.13243
18,9.59375,113.83339,464.34276,9.64464,1748.41872,REFPROP::R1336MZZZ,52.58614
19,9.59375,113.04655,346.50968,9.48114,1443.96332,REFPROP::R1336MZZZ,20.95961
28,10.0,81.9843,343.69997,5.0,1098.79413,REFPROP::water,33.235
29,10.0,108.83393,456.74613,5.0,1405.64198,REFPROP::water,59.39718
